"Tanggal Kasus","Aceh","Bali","Banten","Babel","Bengkulu","DIY","Jakarta","Jambi","Jabar","Jateng","Jatim","Kalbar","Kaltim","Kalteng","Kalsel","Kaltara","Kep.Riau","NTB","Sumsel","Sumbar","Sulut","Sumut","Sultra","Sulsel","Sulteng","Lampung","Riau","Malut","Maluku","Papbar","Papua","Sulbar","NTT","Gorontalo"
"1-Apr",5,25,152,2,1,28,808,2,220,104,104,10,21,9,8,2,7,6,5,8,3,22,3,66,2,8,3,1,1,2,10,1,0,0
"2-Apr",5,25,164,2,1,27,897,2,223,104,104,10,21,9,8,2,7,6,11,8,3,22,3,66,2,8,7,1,1,2,10,1,0,0
"3-Apr",5,27,170,2,2,27,971,2,225,114,155,10,22,12,8,8,8,7,12,8,3,22,6,82,4,12,10,1,1,2,16,1,0,0
"4-Apr",5,32,173,2,2,33,NA,2,247,120,152,10,24,11,8,8,8,7,12,8,3,25,5,82,4,11,10,1,1,2,18,1,0,0
"5-Apr",5,35,177,2,2,34,NA,2,252,120,188,10,30,11,16,8,9,7,16,8,3,25,6,83,4,11,11,1,1,2,26,2,0,0
"6-Apr",5,43,187,2,2,40,NA,2,263,132,189,12,31,20,18,15,9,10,16,18,5,26,7,113,4,12,12,1,1,2,26,2,0,0
"7-Apr",5,43,194,2,2,41,NA,2,343,133,194,10,31,20,18,15,9,10,16,18,8,26,7,127,5,12,12,1,1,2,26,2,0,0
"8-Apr",6,49,212,2,2,41,NA,2,365,140,196,10,32,20,22,16,9,10,16,18,8,59,11,127,5,15,12,2,3,2,38,2,0,0
"9-Apr",6,63,218,3,4,41,NA,2,376,144,223,10,32,20,22,16,22,16,17,18,8,59,15,138,5,15,12,2,3,2,38,2,1,0
"10-Apr",5,75,243,3,4,41,NA,2,388,144,256,10,35,24,29,16,21,25,21,31,13,59,15,167,14,20,13,2,3,2,38,3,1,1
"11-Apr",5,79,279,4,4,41,NA,4,421,144,267,10,35,24,29,16,21,27,21,31,13,59,16,178,19,20,16,2,3,2,62,5,1,1
"12-Apr",5,81,281,4,4,41,NA,4,450,200,386,13,35,24,34,16,21,37,21,44,17,65,16,222,19,20,16,2,11,3,63,5,1,1
"13-Apr",5,86,285,4,4,57,NA,4,540,203,440,13,35,25,34,16,21,37,18,45,17,67,16,223,19,21,20,2,11,2,68,5,1,1
"14-Apr",5,92,280,4,4,62,NA,5,530,278,475,13,35,25,37,16,26,37,19,48,17,72,16,231,19,21,20,2,11,2,68,5,1,1
"15-Apr",5,98,281,5,4,62,NA,6,559,292,499,13,35,33,49,20,32,37,22,55,18,78,24,242,22,20,20,4,14,2,75,7,1,1
"16-Apr",5,113,297,6,4,62,NA,7,570,300,514,21,44,34,59,28,38,45,37,55,18,79,26,271,22,25,24,4,14,5,80,7,1,4
"17-Apr",5,124,311,6,4,64,NA,8,632,304,522,21,44,35,74,47,58,51,54,62,18,79,27,332,24,26,26,4,14,5,89,7,1,4
"18-Apr",6,131,321,6,4,67,NA,8,641,329,555,21,54,41,92,50,79,55,84,71,20,79,28,343,24,26,30,4,17,5,95,7,1,4
"19-Apr",7,135,324,7,4,67,NA,8,696,349,590,21,59,46,96,69,79,61,89,72,20,81,37,370,27,26,30,4,17,7,107,7,1,4
"20-Apr",7,140,341,7,4,69,NA,8,747,351,590,21,63,60,96,74,79,72,89,74,20,83,37,370,27,26,34,4,17,7,107,7,1,4
"21-Apr",7,150,341,8,8,72,NA,13,756,449,603,27,68,67,98,77,81,93,89,76,20,84,37,374,27,27,35,4,17,7,118,7,1,7
"22-Apr",7,152,337,8,8,75,NA,13,762,479,638,31,69,82,107,77,81,108,89,81,20,93,37,387,29,27,35,12,17,8,123,8,1,7
"23-Apr",7,167,337,9,8,76,NA,14,784,538,664,50,74,83,114,77,83,115,93,86,31,95,37,397,29,38,36,14,17,13,130,8,1,7
"24-Apr",8,177,359,9,8,77,NA,18,862,575,690,50,85,94,132,77,83,153,106,96,36,96,41,420,32,38,36,14,17,15,136,33,1,12
"25-Apr",9,183,370,9,8,79,NA,21,907,621,770,51,97,100,146,83,83,180,119,97,36,105,41,432,36,38,38,14,22,16,136,35,1,14
"26-Apr",9,186,370,10,8,82,NA,32,912,649,785,51,105,104,146,89,85,195,129,102,40,111,45,440,36,42,39,26,22,16,141,35,1,15
"27-Apr",9,194,382,10,8,83,NA,32,951,666,796,51,107,112,150,90,86,206,129,121,40,111,45,440,36,42,39,26,22,16,151,35,1,14
"28-Apr",9,215,388,10,8,93,NA,32,969,682,857,51,115,121,150,92,89,221,143,144,43,111,45,453,42,44,40,26,22,37,177,37,1,15
"29-Apr",9,215,388,10,12,94,NA,32,NA,711,872,58,119,127,157,92,89,230,144,145,44,114,53,465,47,46,41,26,23,37,189,38,1,15
"30-Apr",10,222,404,10,12,95,NA,32,NA,724,958,58,134,145,170,100,89,230,150,148,45,117,62,491,47,46,41,40,23,37,205,42,3,15
"1-May",11,235,418,19,12,104,NA,32,NA,746,NA,61,136,156,179,115,89,233,156,172,45,117,62,547,48,50,42,41,23,42,210,43,3,15
"2-May",11,237,427,19,12,114,NA,32,NA,767,NA,68,154,157,179,122,89,250,156,182,45,117,64,577,59,50,45,41,23,43,240,44,3,15
"3-May",12,262,432,20,12,115,NA,38,NA,776,NA,70,162,157,195,122,92,269,185,195,45,123,64,601,59,50,53,50,23,43,240,44,10,15
"4-May",12,271,446,20,12,115,NA,38,NA,798,NA,73,167,180,198,130,92,269,185,203,45,129,64,607,59,54,58,50,23,43,240,44,10,15
"5-May",12,277,458,28,12,121,NA,43,NA,849,NA,73,168,181,212,131,97,285,199,221,45,130,69,640,70,55,61,50,23,49,247,58,12,15
"6-May",17,277,487,28,14,122,NA,47,NA,891,NA,90,182,186,225,131,98,289,210,238,45,141,69,665,70,63,61,50,23,53,248,58,12,15
"7-May",17,287,495,28,14,137,NA,47,NA,904,NA,95,182,188,238,131,98,300,227,252,45,142,69,684,75,63,66,50,23,53,252,58,12,19
"8-May",17,300,505,28,14,143,NA,47,NA,933,NA,95,209,188,246,131,100,312,227,270,47,157,70,708,75,66,69,50,32,53,265,60,12,19
"9-May",17,306,523,28,37,146,NA,62,NA,959,NA,118,214,189,253,131,101,330,278,286,53,179,71,710,75,66,71,54,32,53,277,62,12,19
"10-May",17,311,533,29,37,153,NA,64,NA,978,NA,120,218,193,263,131,101,330,278,299,71,179,76,722,83,66,73,54,32,70,308,62,12,19
"11-May",17,314,541,29,37,159,NA,65,NA,980,NA,120,225,200,263,132,104,331,278,299,71,196,76,722,83,66,74,54,32,70,308,62,12,19
"12-May",17,328,559,29,40,169,NA,65,NA,989,NA,123,228,204,277,132,106,339,279,319,74,198,76,747,95,66,81,54,50,70,322,68,16,19
"13-May",17,332,580,29,40,181,NA,65,NA,NA,NA,129,230,220,291,138,111,344,322,339,82,200,167,803,101,66,88,78,50,70,328,73,19,19
"14-May",17,337,593,29,42,185,NA,66,NA,NA,NA,129,238,223,294,138,111,350,441,371,83,202,166,840,111,66,94,81,62,88,332,74,19,21
"15-May",17,343,622,29,53,188,NA,69,NA,NA,NA,129,251,227,363,141,115,358,458,393,105,202,183,871,112,66,95,85,62,88,335,74,19,22
"16-May",18,346,626,29,56,194,NA,79,NA,NA,NA,131,253,227,370,153,116,365,458,396,114,202,189,917,113,66,95,88,62,102,350,75,47,23
"17-May",18,348,650,29,65,199,NA,80,NA,NA,NA,132,254,227,372,155,116,371,521,408,114,218,191,951,115,67,99,92,84,105,383,75,59,24
"18-May",18,359,677,29,66,200,NA,81,NA,NA,NA,132,255,227,438,155,127,375,537,409,116,225,191,NA,115,83,101,93,107,105,383,75,68,28
"19-May",18,363,698,29,67,207,NA,84,NA,NA,NA,132,258,232,484,160,140,375,597,420,126,235,202,NA,115,84,106,95,107,105,389,77,71,28
"20-May",18,371,699,35,67,209,NA,89,NA,NA,NA,132,264,241,547,160,140,393,646,428,152,250,202,NA,115,85,107,96,124,106,409,78,76,28
"21-May",18,374,753,36,69,215,NA,89,NA,NA,NA,133,266,254,557,162,140,410,674,436,180,273,202,NA,117,101,108,97,135,110,410,86,79,44
"22-May",19,380,768,36,69,220,NA,91,NA,NA,NA,140,271,290,572,163,141,464,693,438,198,285,211,NA,117,105,109,99,157,119,437,86,79,47
"23-May",19,388,768,39,69,225,NA,91,NA,NA,NA,168,274,292,590,163,150,474,725,443,201,294,215,NA,121,105,110,99,157,129,494,86,79,49
"24-May",19,394,789,39,69,226,NA,95,NA,NA,NA,168,276,308,599,164,154,478,736,478,230,311,215,NA,121,109,111,100,159,130,556,86,79,58
"25-May",19,396,789,39,69,226,NA,97,NA,NA,NA,175,276,310,602,164,154,478,812,478,239,315,215,NA,121,116,111,107,160,130,567,86,82,58
"26-May",19,407,807,39,69,226,NA,97,NA,NA,NA,176,277,322,630,164,154,488,868,513,265,315,215,NA,121,116,111,118,160,132,567,87,85,58
"27-May",19,415,817,42,69,228,NA,97,NA,NA,NA,183,380,330,703,165,162,537,921,537,281,332,226,NA,121,118,111,119,170,132,581,88,85,60
"28-May",20,420,831,42,71,228,NA,97,NA,NA,NA,184,281,337,819,165,175,562,942,541,297,362,240,NA,126,118,111,128,188,152,584,88,85,65
"29-May",20,443,845,42,72,230,NA,97,NA,NA,NA,184,285,367,893,165,178,590,953,541,306,400,241,NA,126,131,117,139,215,158,640,88,90,68
"30-May",20,455,858,45,86,233,NA,97,NA,NA,NA,184,291,398,893,165,196,594,963,552,322,406,241,NA,126,132,117,146,215,162,658,88,91,69
"31-May",20,465,861,46,91,236,NA,97,NA,NA,NA,189,295,410,919,165,197,636,982,567,339,409,244,NA,128,133,117,153,223,168,675,92,92,94
"1-Jun",20,482,867,46,91,237,NA,97,NA,NA,NA,196,297,419,948,165,197,652,995,567,339,417,244,NA,128,135,117,160,223,168,725,92,97,94
"2-Jun",20,487,883,50,92,237,NA,97,NA,NA,NA,196,298,428,969,165,209,670,NA,574,354,418,244,NA,128,136,117,174,223,172,819,92,97,108
"3-Jun",20,490,954,62,92,237,NA,97,NA,NA,NA,202,310,456,NA,165,209,685,NA,583,377,444,251,NA,129,136,117,176,238,172,858,92,97,118
"4-Jun",20,510,965,72,92,237,NA,99,NA,NA,NA,202,316,469,NA,165,219,705,NA,594,382,488,252,NA,129,140,117,177,238,173,875,92,97,121
"5-Jun",20,524,989,81,92,238,NA,101,NA,NA,NA,205,317,484,NA,167,223,757,NA,607,391,537,257,NA,136,141,117,178,254,175,918,92,97,121
"6-Jun",20,557,NA,98,92,242,NA,103,NA,NA,NA,210,327,496,NA,168,227,798,NA,618,470,605,257,NA,139,143,118,185,261,178,NA,92,97,126
"7-Jun",20,582,NA,102,92,244,NA,103,NA,NA,NA,210,329,496,NA,169,228,808,NA,626,495,605,259,NA,159,144,118,186,269,179,NA,94,97,134
"8-Jun",20,594,NA,102,92,247,NA,103,NA,NA,NA,210,338,504,NA,169,228,822,NA,626,510,607,259,NA,159,145,118,186,307,179,NA,94,103,134
"9-Jun",20,608,NA,121,92,249,NA,103,NA,NA,NA,234,351,522,NA,170,228,830,NA,645,551,618,263,NA,159,148,120,190,315,183,NA,94,103,139
"10-Jun",22,640,NA,123,92,250,NA,105,NA,NA,NA,245,362,537,NA,170,228,857,NA,659,546,635,266,NA,159,150,120,227,328,191,NA,95,105,145
"11-Jun",22,659,NA,126,92,252,NA,105,NA,NA,NA,245,365,552,NA,170,238,868,NA,661,579,680,272,NA,159,152,120,263,328,195,NA,96,105,149
"12-Jun",22,695,NA,132,95,262,NA,106,NA,NA,NA,267,373,565,NA,170,238,891,NA,671,644,768,277,NA,159,153,120,285,387,200,NA,97,105,181
"13-Jun",22,723,NA,136,98,264,NA,108,NA,NA,NA,267,376,586,NA,170,239,904,NA,674,651,862,279,NA,168,165,125,302,400,205,NA,97,105,185
"14-Jun",27,741,NA,144,101,269,NA,108,NA,NA,NA,268,378,586,NA,170,239,915,NA,681,658,872,283,NA,170,166,125,310,421,208,NA,98,108,185
"15-Jun",27,760,NA,144,101,272,NA,108,NA,NA,NA,268,382,631,NA,170,254,937,NA,681,676,932,286,NA,171,166,126,312,452,209,NA,98,108,208
"16-Jun",27,782,NA,145,104,273,NA,108,NA,NA,NA,270,392,657,NA,171,254,957,NA,687,701,957,291,NA,172,166,126,312,496,212,NA,98,108,214
"17-Jun",37,829,NA,147,105,276,NA,109,NA,NA,NA,282,397,702,NA,171,263,978,NA,691,736,970,292,NA,172,169,128,322,520,214,NA,99,108,214
"18-Jun",38,895,NA,147,105,276,NA,109,NA,NA,NA,282,405,738,NA,171,263,NA,NA,696,761,993,326,NA,172,171,134,343,537,219,NA,104,108,214
"19-Jun",38,976,NA,147,107,277,NA,112,NA,NA,NA,296,417,738,NA,173,263,NA,NA,700,784,NA,329,NA,173,172,142,383,544,222,NA,104,108,220
"20-Jun",39,NA,NA,148,116,285,NA,112,NA,NA,NA,298,423,764,NA,175,264,NA,NA,703,809,NA,332,NA,173,180,142,400,581,222,NA,104,108,220
"21-Jun",49,NA,NA,148,116,288,NA,112,NA,NA,NA,298,434,764,NA,176,279,NA,NA,707,853,NA,332,NA,173,181,142,411,603,224,NA,104,111,227
"22-Jun",49,NA,NA,148,116,288,NA,112,NA,NA,NA,298,435,785,NA,177,281,NA,NA,707,854,NA,334,NA,176,181,166,431,633,224,NA,104,111,230
"23-Jun",49,NA,NA,148,118,291,NA,114,NA,NA,NA,313,447,796,NA,177,281,NA,NA,712,861,NA,336,NA,179,181,193,465,634,224,NA,104,111,231
"24-Jun",53,NA,NA,148,118,292,NA,114,NA,NA,NA,313,456,800,NA,179,284,NA,NA,715,892,NA,337,NA,180,183,217,560,671,225,NA,105,111,238
"25-Jun",66,NA,NA,148,120,299,NA,114,NA,NA,NA,313,473,810,NA,188,291,NA,NA,717,938,NA,337,NA,181,187,220,640,684,233,NA,106,111,243
"26-Jun",69,NA,NA,148,124,302,NA,114,NA,NA,NA,313,483,817,NA,197,291,NA,NA,720,984,NA,341,NA,183,187,223,661,691,233,NA,108,113,243
"27-Jun",77,NA,NA,149,125,304,NA,117,NA,NA,NA,321,494,822,NA,201,291,NA,NA,722,NA,NA,343,NA,184,188,223,698,705,234,NA,112,113,243
"28-Jun",79,NA,NA,149,125,306,NA,117,NA,NA,NA,321,503,834,NA,201,293,NA,NA,725,NA,NA,343,NA,186,188,224,719,711,236,NA,114,113,243
"29-Jun",79,NA,NA,152,125,306,NA,117,NA,NA,NA,321,510,881,NA,204,293,NA,NA,725,NA,NA,345,NA,186,188,226,719,726,237,NA,114,113,243
"30-Jun",80,NA,NA,152,125,313,NA,117,NA,NA,NA,321,518,894,NA,206,293,NA,NA,726,NA,NA,363,NA,189,190,226,728,742,239,NA,115,113,249
"1-Jul",86,NA,NA,155,129,314,NA,117,NA,NA,NA,336,525,931,NA,206,302,NA,NA,742,NA,NA,405,NA,186,191,227,875,749,242,NA,117,113,249
"2-Jul",86,NA,NA,155,130,320,NA,117,NA,NA,NA,336,531,946,NA,206,307,NA,NA,750,NA,NA,464,NA,186,193,228,940,762,244,NA,119,118,256
"3-Jul",87,NA,NA,157,136,324,NA,117,NA,NA,NA,336,544,996,NA,206,310,NA,NA,760,NA,NA,475,NA,186,193,232,950,769,249,NA,120,118,261
"4-Jul",87,NA,NA,161,137,325,NA,117,NA,NA,NA,336,557,NA,NA,206,311,NA,NA,762,NA,NA,479,NA,191,193,233,953,776,253,NA,124,118,269
"5-Jul",87,NA,NA,163,141,331,NA,120,NA,NA,NA,339,584,NA,NA,206,313,NA,NA,775,NA,NA,482,NA,191,195,234,953,794,255,NA,124,118,269
"6-Jul",87,NA,NA,169,141,339,NA,120,NA,NA,NA,339,597,NA,NA,206,313,NA,NA,775,NA,NA,484,NA,191,201,235,953,804,265,NA,124,118,271
"7-Jul",88,NA,NA,171,144,346,NA,121,NA,NA,NA,344,603,NA,NA,206,313,NA,NA,780,NA,NA,487,NA,191,201,236,967,830,266,NA,127,118,276
"8-Jul",89,NA,NA,171,151,349,NA,121,NA,NA,NA,344,617,NA,NA,206,318,NA,NA,780,NA,NA,494,NA,193,202,236,NA,837,266,NA,129,121,286
"9-Jul",90,NA,NA,171,155,357,NA,122,NA,NA,NA,347,623,NA,NA,214,321,NA,NA,785,NA,NA,500,NA,193,203,238,NA,845,272,NA,130,121,286
"10-Jul",90,NA,NA,171,158,364,NA,122,NA,NA,NA,347,642,NA,NA,214,321,NA,NA,791,NA,NA,507,NA,193,205,238,NA,858,276,NA,135,121,316
"11-Jul",99,NA,NA,172,162,370,NA,122,NA,NA,NA,347,673,NA,NA,214,327,NA,NA,794,NA,NA,509,NA,193,205,239,NA,864,282,NA,138,121,345
"12-Jul",106,NA,NA,172,163,371,NA,122,NA,NA,NA,350,690,NA,NA,214,332,NA,NA,800,NA,NA,511,NA,193,208,240,NA,874,286,NA,142,121,359
"13-Jul",106,NA,NA,172,163,379,NA,122,NA,NA,NA,355,695,NA,NA,215,332,NA,NA,800,NA,NA,518,NA,193,209,243,NA,900,286,NA,143,121,363
"14-Jul",110,NA,NA,174,168,387,NA,124,NA,NA,NA,355,722,NA,NA,215,337,NA,NA,803,NA,NA,521,NA,194,209,246,NA,900,292,NA,146,121,385
"15-Jul",137,NA,NA,175,170,396,NA,125,NA,NA,NA,355,756,NA,NA,215,341,NA,NA,805,NA,NA,531,NA,195,215,246,NA,920,292,NA,152,121,392
"16-Jul",140,NA,NA,175,171,404,NA,125,NA,NA,NA,359,780,NA,NA,215,341,NA,NA,806,NA,NA,540,NA,195,219,251,NA,926,296,NA,154,121,416
"17-Jul",145,NA,NA,175,173,408,NA,126,NA,NA,NA,359,823,NA,NA,216,341,NA,NA,813,NA,NA,554,NA,195,220,256,NA,928,301,NA,154,121,425
"18-Jul",145,NA,NA,176,179,416,NA,132,NA,NA,NA,359,848,NA,NA,216,344,NA,NA,817,NA,NA,575,NA,195,229,261,NA,929,339,NA,158,131,426
"19-Jul",146,NA,NA,176,181,432,NA,132,NA,NA,NA,359,868,NA,NA,216,345,NA,NA,826,NA,NA,587,NA,196,231,272,NA,960,341,NA,159,131,432
"20-Jul",148,NA,NA,180,181,438,NA,132,NA,NA,NA,359,893,NA,NA,217,345,NA,NA,828,NA,NA,635,NA,196,231,287,NA,979,368,NA,166,134,537
"21-Jul",149,NA,NA,180,181,465,NA,134,NA,NA,NA,359,964,NA,NA,217,345,NA,NA,836,NA,NA,671,NA,196,232,310,NA,998,371,NA,167,137,616
"22-Jul",151,NA,NA,181,185,486,NA,136,NA,NA,NA,359,994,NA,NA,217,349,NA,NA,846,NA,NA,685,NA,196,237,348,NA,998,376,NA,169,137,616
"23-Jul",158,NA,NA,182,195,496,NA,136,NA,NA,NA,359,NA,NA,NA,218,349,NA,NA,849,NA,NA,712,NA,200,246,350,NA,NA,386,NA,171,137,620
"24-Jul",162,NA,NA,185,195,519,NA,138,NA,NA,NA,359,NA,NA,NA,218,351,NA,NA,852,NA,NA,735,NA,201,246,362,NA,NA,387,NA,175,137,694
"25-Jul",168,NA,NA,186,200,536,NA,139,NA,NA,NA,365,NA,NA,NA,266,354,NA,NA,864,NA,NA,752,NA,201,247,367,NA,NA,388,NA,187,137,796
"26-Jul",168,NA,NA,188,200,543,NA,139,NA,NA,NA,365,NA,NA,NA,266,355,NA,NA,869,NA,NA,768,NA,202,250,378,NA,NA,392,NA,192,145,820
"27-Jul",168,NA,NA,191,200,558,NA,139,NA,NA,NA,365,NA,NA,NA,266,355,NA,NA,869,NA,NA,769,NA,202,252,382,NA,NA,396,NA,193,145,851
"28-Jul",193,NA,NA,191,210,572,NA,139,NA,NA,NA,381,NA,NA,NA,268,362,NA,NA,874,NA,NA,769,NA,206,252,409,NA,NA,397,NA,195,145,855
"29-Jul",238,NA,NA,193,212,587,NA,154,NA,NA,NA,381,NA,NA,NA,268,370,NA,NA,891,NA,NA,776,NA,207,252,415,NA,NA,413,NA,201,145,957
"30-Jul",312,NA,NA,193,214,610,NA,156,NA,NA,NA,381,NA,NA,NA,280,370,NA,NA,907,NA,NA,782,NA,207,255,426,NA,NA,430,NA,223,145,NA
"31-Jul",415,NA,NA,193,217,674,NA,162,NA,NA,NA,387,NA,NA,NA,283,447,NA,NA,948,NA,NA,782,NA,207,255,445,NA,NA,433,NA,230,145,NA
"1-Aug",415,NA,NA,193,218,741,NA,168,NA,NA,NA,387,NA,NA,NA,284,491,NA,NA,948,NA,NA,787,NA,207,255,446,NA,NA,451,NA,232,145,NA
"2-Aug",431,NA,NA,193,235,760,NA,169,NA,NA,NA,387,NA,NA,NA,284,493,NA,NA,957,NA,NA,787,NA,213,271,456,NA,NA,460,NA,238,151,NA
"3-Aug",433,NA,NA,196,235,772,NA,169,NA,NA,NA,387,NA,NA,NA,284,493,NA,NA,974,NA,NA,789,NA,213,297,506,NA,NA,460,NA,239,151,NA
"4-Aug",440,NA,NA,196,238,784,NA,188,NA,NA,NA,387,NA,NA,NA,287,493,NA,NA,987,NA,NA,859,NA,213,297,577,NA,NA,471,NA,241,151,NA
"5-Aug",442,NA,NA,197,239,801,NA,193,NA,NA,NA,387,NA,NA,NA,287,500,NA,NA,NA,NA,NA,892,NA,215,298,606,NA,NA,481,NA,245,152,NA
"6-Aug",483,NA,NA,197,240,819,NA,193,NA,NA,NA,394,NA,NA,NA,291,500,NA,NA,NA,NA,NA,951,NA,215,299,621,NA,NA,492,NA,265,152,NA
"7-Aug",536,NA,NA,200,240,838,NA,205,NA,NA,NA,397,NA,NA,NA,291,517,NA,NA,NA,NA,NA,978,NA,216,303,656,NA,NA,536,NA,267,152,NA
"8-Aug",536,NA,NA,200,243,854,NA,210,NA,NA,NA,397,NA,NA,NA,292,526,NA,NA,NA,NA,NA,998,NA,216,307,706,NA,NA,551,NA,275,152,NA
"9 Aug",580,NA,NA,201,252,862,NA,210,NA,NA,NA,410,NA,NA,NA,294,534,NA,NA,NA,NA,NA,NA,NA,216,307,732,NA,NA,552,NA,275,152,NA
"10 Aug",676,NA,NA,203,253,876,NA,210,NA,NA,NA,416,NA,NA,NA,296,555,NA,NA,NA,NA,NA,NA,NA,216,316,773,NA,NA,557,NA,275,152,NA
"11 Aug",676,NA,NA,203,258,880,NA,210,NA,NA,NA,420,NA,NA,NA,299,572,NA,NA,NA,NA,NA,NA,NA,216,318,789,NA,NA,558,NA,282,155,NA
"12 Aug",748,NA,NA,203,260,900,NA,215,NA,NA,NA,429,NA,NA,NA,303,599,NA,NA,NA,NA,NA,NA,NA,220,320,821,NA,NA,571,NA,282,162,NA
"13 Aug",748,NA,NA,203,264,911,NA,215,NA,NA,NA,439,NA,NA,NA,312,613,NA,NA,NA,NA,NA,NA,NA,220,327,889,NA,NA,595,NA,287,162,NA
"14 Aug",840,NA,NA,205,274,946,NA,222,NA,NA,NA,444,NA,NA,NA,312,625,NA,NA,NA,NA,NA,NA,NA,223,332,918,NA,NA,595,NA,299,162,NA
"15 Aug",865,NA,NA,207,277,992,NA,225,NA,NA,NA,447,NA,NA,NA,325,647,NA,NA,NA,NA,NA,NA,NA,223,332,959,NA,NA,601,NA,306,165,NA
"16 Aug",876,NA,NA,212,279,NA,NA,225,NA,NA,NA,447,NA,NA,NA,328,657,NA,NA,NA,NA,NA,NA,NA,223,341,983,NA,NA,605,NA,307,165,NA
"17 Aug",NA,NA,NA,214,279,NA,NA,245,NA,NA,NA,447,NA,NA,NA,329,664,NA,NA,NA,NA,NA,NA,NA,227,343,NA,NA,NA,607,NA,319,165,NA
"18 Aug",NA,NA,NA,216,280,NA,NA,245,NA,NA,NA,452,NA,NA,NA,329,664,NA,NA,NA,NA,NA,NA,NA,228,343,NA,NA,NA,620,NA,320,165,NA
"19 Aug",NA,NA,NA,219,286,NA,NA,250,NA,NA,NA,456,NA,NA,NA,332,679,NA,NA,NA,NA,NA,NA,NA,233,346,NA,NA,NA,634,NA,322,165,NA
"20 Aug",NA,NA,NA,220,286,NA,NA,250,NA,NA,NA,471,NA,NA,NA,337,680,NA,NA,NA,NA,NA,NA,NA,233,352,NA,NA,NA,640,NA,323,165,NA
"21 Aug",NA,NA,NA,222,287,NA,NA,271,NA,NA,NA,500,NA,NA,NA,339,701,NA,NA,NA,NA,NA,NA,NA,235,353,NA,NA,NA,643,NA,331,165,NA
"22 Aug",NA,NA,NA,226,288,NA,NA,274,NA,NA,NA,533,NA,NA,NA,340,701,NA,NA,NA,NA,NA,NA,NA,236,356,NA,NA,NA,647,NA,347,170,NA
"23 Aug",NA,NA,NA,228,288,NA,NA,274,NA,NA,NA,566,NA,NA,NA,349,745,NA,NA,NA,NA,NA,NA,NA,238,362,NA,NA,NA,649,NA,352,171,NA
"24 Aug",NA,NA,NA,228,289,NA,NA,274,NA,NA,NA,578,NA,NA,NA,357,756,NA,NA,NA,NA,NA,NA,NA,239,365,NA,NA,NA,659,NA,353,171,NA
"25 Aug",NA,NA,NA,231,300,NA,NA,281,NA,NA,NA,605,NA,NA,NA,360,767,NA,NA,NA,NA,NA,NA,NA,239,369,NA,NA,NA,659,NA,360,172,NA
"26 Aug",NA,NA,NA,235,303,NA,NA,289,NA,NA,NA,605,NA,NA,NA,361,775,NA,NA,NA,NA,NA,NA,NA,239,371,NA,NA,NA,711,NA,362,173,NA
